Rank,Country,Continent,Region,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,latitude,longitude,Life Expectancy,Population
1,Switzerland,Europe,Western Europe,195.06,116.19,77.88,75.32,110.34,8.86,28.37,19.39,79.56,46.818188,8.227512,84,8691409
2,Denmark,Europe,Northern Europe,194.15,99.76,73.66,79.77,73.09,6.3,28.41,20.92,81.8,56.26392,9.501785,81.40000153,5854246
3,Netherlands,Europe,Western Europe,191.46,99.58,72.43,75.93,67.71,7.36,26.63,24.72,86.92,52.132633,5.291266,81.69999695,17501696
4,Australia,Oceania,Australia and New Zealand,190.72,117.56,55.17,77.76,72.27,5.6,34.68,24.19,93.9,-25.274398,133.775136,84.5,25921094
5,Finland,Europe,Northern Europe,186.84,91,73.16,76.75,63.75,7.54,27.58,12.02,56.64,61.92411,25.748151,82,5535982
6,Iceland,Europe,Northern Europe,184.48,82.62,75.7,66.61,86.59,6.8,19.96,15.83,68.81,64.963051,-19.020835,82.69999695,370338
7,Norway,Europe,Northern Europe,179.63,86.27,66.49,77.08,85.93,7.83,26.87,17.99,68.68,60.472024,8.468946,83.19999695,5403021
8,Germany,Europe,Western Europe,178.32,102.75,62.99,72.45,59.62,10.6,31.14,28.14,82.92,51.165691,10.451526,80.59999847,83408552
9,Austria,Europe,Western Europe,178.06,75.09,73.18,76.19,64.11,10.88,25.38,22.16,77.15,47.516231,14.550072,81.59999847,8922086
10,New Zealand,Oceania,Australia and New Zealand,176.83,85.02,55.39,72.97,68.96,8.01,30.73,23.87,96.35,-40.900557,174.885971,82.5,5129730
11,United Arab Emirates,Asia,Western Asia,174.37,118.94,85.13,69.68,58.01,2.91,36.1,47.94,45.23,23.424076,53.847818,78.69999695,9365149
12,Estonia,Europe,Northern Europe,173.83,60.41,75.86,73.87,49.47,10.06,23.97,18.36,64.28,58.595272,25.013607,77.09999847,1328704
13,Luxembourg,Europe,Western Europe,173.76,96.13,64.42,71.54,72.15,13.95,31.66,24.1,82.62,49.815273,6.129583,82.59999847,639330
14,Sweden,Europe,Northern Europe,173.71,94.93,51.23,68.81,61.77,9.52,29.42,17.96,74.92,60.128161,18.643501,83,10467095
15,Spain,Europe,Southern Europe,173.01,77.29,65.03,78.14,47.51,7.49,29.2,39.08,93.65,40.463667,-3.74922,83,47486932
16,Japan,Asia,Eastern Asia,172.65,91.13,77.76,80.52,62.77,10.49,40.65,39.09,84.79,36.204824,138.252924,84.80000305,124612528
17,Oman,Asia,Western Asia,172.12,78.78,80.28,58.23,48.11,4.59,22.63,36.76,67.22,21.512583,55.923255,72.5,4520474
18,Slovenia,Europe,Southern Europe,168.74,57.95,76.83,65.14,47.3,11.7,26.32,22.76,77.56,46.151241,14.995463,80.69999695,2119408
19,United States of America,North America,Northern America,167.19,99.88,51.59,68.93,69.92,4.58,32.88,35.72,77.07,37.09024,-95.712891,77.19999695,336997632
20,United Kingdom,Europe,Northern Europe,164.8,92.86,53.38,74.46,60.42,7.99,34.43,40.37,88.02,55.378051,-3.435973,80.69999695,67281040
21,Czech Republic,Europe,Eastern Europe,163.78,69.94,74.22,75.45,44.33,14.93,29.37,35.32,78.32,49.817492,15.472962,#N/A,#N/A
22,Canada,North America,Northern America,163.77,101.67,56.37,70.8,68.78,8.91,33.56,28.93,55.34,56.130366,-106.346771,82.69999695,38155012
23,Lithuania,Europe,Northern Europe,162.95,55.67,67.45,73.4,43.1,12.19,25.31,24.8,69.86,55.169438,23.881275,73.69999695,2786652
24,Croatia,Europe,Southern Europe,162.74,52.79,76.01,63.75,43.74,13.16,26.74,31.41,89.89,45.1,15.2,77.59999847,4060139
25,Portugal,Europe,Southern Europe,162.17,47.89,68.47,72.09,42.18,12.97,29.64,30.98,97.81,39.399872,-8.224454,81,10290109
26,Belgium,Europe,Western Europe,155.76,86.27,53.29,75.53,62.8,6.6,36.36,49.84,86.03,50.503887,4.469936,81.90000153,11611416
27,Qatar,Asia,Western Asia,155.64,98.13,85.85,73.67,60.56,6.95,29.96,60.05,36.03,25.354826,51.183884,79.30000305,2688239
28,Singapore,Asia,South-Eastern Asia,154.54,94.65,72.78,71.09,79.09,16.78,41.19,33.02,57.45,1.352083,103.819836,82.80000305,5941063
29,France,Europe,Western Europe,152.74,79.61,45.61,79.96,65.55,11.85,34.67,42.21,89.97,46.227638,2.213749,82.5,64531448
30,Latvia,Europe,Northern Europe,152.22,49.84,61.51,63.16,45.21,7.66,30.25,31.99,74.7,56.879635,24.603189,73.59999847,1873926
31,Ireland,Europe,Northern Europe,151.73,75.2,54.13,52.03,66.73,6.97,37.91,35,89.13,53.41291,-8.24389,82,4986525
32,Slovakia,Europe,Eastern Europe,150.5,53.84,69.46,60.14,41.03,12,28.1,38.57,78.13,48.669026,19.699024,74.90000153,5447621
33,Saudi Arabia,Asia,Western Asia,150.17,93.26,75.38,61.16,50.35,2.87,29.04,63.28,45.98,23.885942,45.079162,76.90000153,35950396
34,Cyprus,Asia,Western Asia,148.25,54.47,68.94,54.12,52.48,6.76,23.14,55.23,92.23,35.126413,33.429859,81.19999695,1244193
35,Israel,Asia,Western Asia,146.39,73.54,67.82,73.73,77.28,13.26,36.4,57.79,93.86,31.046051,34.851612,82.30000305,8900057
36,Taiwan,Asia,Eastern Asia,143.83,61.78,83.85,86.04,55.95,19.73,31.68,64.88,81.6,23.69781,120.960515,81,23859904
37,Italy,Europe,Southern Europe,137.27,58,53.76,66.67,58.47,11.1,33.61,54.44,91.7,41.87194,12.56738,82.90000153,59240336
38,South Africa,Africa,Southern Africa,136.55,77.84,24.63,63.95,37.94,3.25,39.18,56.39,95.25,-30.559482,22.937506,62.29999924,59392256
39,Hungary,Europe,Eastern Europe,136.22,53.24,66.09,54.27,34.64,13.22,35.61,47.75,79.48,47.162494,19.503304,74.5,9709784
40,Poland,Europe,Eastern Europe,132.16,60.65,67.87,54.57,35.06,13.49,32.32,60.06,76.03,51.919438,19.145136,76.5,38307724
41,Puerto Rico,North America,Caribbean,131.13,65.41,38.23,56.93,64.58,4.2,34.85,48.9,71.25,18.220833,-66.590149,80.19999695,3256030
42,Romania,Europe,Eastern Europe,131.09,48.84,67.5,56.51,34.93,11.1,33.38,58.52,76.5,45.943161,24.96676,74.19999695,19328558
